id,activity_name,domain,difficulty,goal,skills_targeted,materials,time_required_minutes,step_instructions,age_range,sensory_suitability,autism_level_suitability,environment_fit,cost_level,learning_style_fit
1,Picture Labeling (Writing) - Improve spacing and #4,Writing,Challenging,Improve spacing and line awareness,"sentence building, letter formation","markers, ball, blocks",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Neutral,Level 1 (mild support),Outdoor friendly,Medium cost,Kinesthetic
2,Shape Practice (Writing) - Practice copying from #122,Writing,Easy,Practice copying from a model,"fine motor precision, sentence building","rice or beans in a container, picture cards",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Neutral,Level 2 (moderate support),Group setting possible,No cost,Auditory
3,Sentence Starters (Writing) - Practice copying from #172,Writing,Moderate,Practice copying from a model,"letter formation, fine motor precision","glue, markers",30,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Sensory-avoidant,Level 1 (mild support),Quiet environment,Medium cost,Visual
4,Balance Line (Gross Motor) - Improve jumping and #36,Gross Motor,Easy,Improve jumping and landing control,"balance, motor planning","blocks, coins",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",3-4,Sensory-seeking,Level 1 (mild support),Outdoor friendly,Low cost,Kinesthetic
5,Turn-Taking Game (Speech) - Encourage turntaking in #108,Speech,Moderate,Encourage turn-taking in conversation,"social communication, turn-taking","notebook, pencil",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Sensory-avoidant,Level 1 (mild support),Group setting possible,No cost,Mixed
6,Guided Journal (Writing) - Practice copying from #22,Writing,Easy,Practice copying from a model,"sentence building, spacing","buttons, tape on floor, coins",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Sensory-avoidant,Level 2 (moderate support),Outdoor friendly,Medium cost,Kinesthetic
7,Letter Hunt (Writing) - Practice tracing shapes #216,Writing,Challenging,Practice tracing shapes and letters,"fine motor precision, spacing","pencil, playdough",30,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Mixed,Level 1 (mild support),Low materials / small space,Low cost,Kinesthetic
8,Deep Pressure Routine (Sensory) - Provide calming sensory #104,Sensory,Easy,Provide calming sensory input,"tactile tolerance, self-regulation","blocks, rice or beans in a container, zipper pouch, glue",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-seeking,Level 1 (mild support),Quiet environment,Low cost,Mixed
9,Picture Naming (Speech) - Improve expressive vocabulary #186,Speech,Moderate,Improve expressive vocabulary,"question answering, listening","string, soft toys, small toys, glue",25,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Mixed,Level 3 (high support),Low materials / small space,No cost,Kinesthetic
10,Picture Labeling (Writing) - Practice copying from #238,Writing,Challenging,Practice copying from a model,"sentence building, visual-motor integration","plastic cups, soft toys, small toys",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Sensory-avoidant,Level 2 (moderate support),Group setting possible,No cost,Mixed
